Name,Product Id,Price,Material
Xylo Red Cross Stitch Rug by Asiatic,AS01002-1,£386.65,Leather
Xylo Laser Mosaic Rug by Asiatic,AS01003-1,£386.65,Leather
Shade SH05 Leaf Grey Wool Rug by Asiatic,AS01705-1,£250.75,"Polyester , Wool"
Colt CL10 Stripe Mustard Rug by Asiatic,AS02810,£68.36,Polypropylene
Colt CL12 Diamond Grey Rug by Asiatic,AS02812-1,£65.89,Polypropylene
Colt CL11 Stripe Pink Rug by Asiatic,AS02811-1,£65.89,Polypropylene
Shade SH03 Strata Grey Wool Rug by Asiatic,AS01706-1,£89.15,"Polyester , Wool"
Colt CL15 Fan Pink Rug by Asiatic,AS02815-1,£65.89,Polypropylene
Colt CL09 Chevron Pink Rug by Asiatic,AS02809-1,£65.89,Polypropylene
Colt CL16 Pyramid Rust Rug by Asiatic,AS02816-1,£65.89,Polypropylene
Colt CL18 Pyramid Mustard Rug by Asiatic,AS02818-1,£64.94,Polypropylene
Dream DM07 Cream Beige Rug by Asiatic,AS03004-1,£107.58,Polypropylene
Dream DM08 Brown Cream Rug by Asiatic,AS03005-1,£205.08,Polypropylene
Willow Silver Faux Fur Rug by Asiatic,AS13601-1,£24.89,Polyester
Willow Taupe Faux Fur Rug by Asiatic,AS13605-1,£24.89,Polyester
Willow Navy Tipped Faux Fur Rug by Asiatic,AS13603-1,£24.89,Polyester
Viscount V55 Traditional Rug by Asiatic,AS08206-1,£79.16,Polypropylene
Willow Pink Faux Fur Rug by Asiatic,AS13602-1,£24.89,Polyester
Chobi CB01 Traditional Wool Rug by Asiatic,AS08001-1,£282.11,Wool
Viscount V56 Traditional Rug by Asiatic,AS08207-1,£99.68,Polypropylene
Chobi CB02 Traditional Wool Rug by Asiatic,AS08002-1,£282.11,Wool
Willow Charcoal Tipped Faux Fur Rug by Asiatic,AS13606-1,£24.89,Polyester
Chobi CB05 Traditional Wool Rug by Asiatic,AS08005-1,£282.11,Wool
Chobi CB03 Traditional Wool Rug by Asiatic,AS08003-1,£282.11,Wool
Chobi CB06 Traditional Wool Rug by Asiatic,AS08006-1,£282.11,Wool
Chobi CB09 Traditional Wool Rug by Asiatic,AS08009-1,£300.35,Wool
Chobi CB07 Traditional Wool Rug by Asiatic,AS08007-1,£282.11,Wool
Da Vinci 057 0125 4646 Blue Grey Traditional Rug by Mastercraft,MC3520-1,£482.60,Polypropylene
Amira AM005 Abstract Rug By Asiatic,AS08805-1,£228.68,Wool
Amira AM001 Geometric Rug By Asiatic,AS08801-1,£228.68,Wool
Amira AM003 Geometric Rug By Asiatic,AS08803-1,£228.68,Wool
Chobi CB08 Traditional Wool Rug by Asiatic,AS08008-1,£300.35,Wool
Amira AM004 Abstract Rug By Asiatic,AS08804-1,£228.68,Wool
Kashqai 4327 400 Blue Traditional Wool Rug By Mastercraft,MC1822-1,£321.09,Wool
Amira AM006 Geometric Rug By Asiatic,AS08806-1,£228.68,Wool
Amira AM007 Abstract Rug By Asiatic,AS08807-1,£228.68,Wool
Arlo AR01 Black Geometric Rug By Asiatic,AS08901-1,£76.95,Polyester
Arlo AR02 Denim Geometric Rug By Asiatic,AS08902-1,£76.95,Polyester
Arlo AR05 Chevron Blue Geometric Rug By Asiatic,AS08905-1,£97.92,Polyester
